"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"294","1585469040.659878650","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=53)",""
"296","1585469040.879811323","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=54) [tempreture]","353343"
"297","1585469040.879863293","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=54)",""
"298","1585469040.946883302","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=54)",""
"299","1585469040.947011728","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=54)",""
"301","1585469041.156353322","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=55) [tempreture]","353443"
"302","1585469041.156432816","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=55)",""
"304","1585469041.223853703","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=55)",""
"305","1585469041.223954330","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=55)",""
"306","1585469041.431574601","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=56) [tempreture]","353543"
"307","1585469041.431677770","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=56)",""
"309","1585469041.498834427","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=56)",""
"310","1585469041.498888696","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=56)",""
"311","1585469041.707834343","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=57) [tempreture]","353643"
"312","1585469041.707907440","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=57)",""
"314","1585469041.775032112","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=57)",""
"315","1585469041.775091336","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=57)",""
"317","1585469041.988610157","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=58) [tempreture]","353743"
"318","1585469041.988714198","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=58)",""
"319","1585469042.055710970","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=58)",""
"320","1585469042.055775936","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=58)",""
"322","1585469042.272506060","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=59) [tempreture]","353843"
"323","1585469042.272602493","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=59)",""
"324","1585469042.340109989","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=59)",""
"325","1585469042.340191212","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=59)",""
"327","1585469042.550919137","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=60) [tempreture]","353943"
"328","1585469042.551045996","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=60)",""
"329","1585469042.618411281","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=60)",""
"330","1585469042.618525454","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=60)",""
"332","1585469042.834009243","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=61) [tempreture]","363043"
"333","1585469042.834070354","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=61)",""
"334","1585469042.901893482","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=61)",""
"335","1585469042.901959829","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=61)",""
"337","1585469043.115020505","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=62) [tempreture]","363143"
"338","1585469043.115115132","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=62)",""
"339","1585469043.182135171","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=62)",""
"340","1585469043.182205160","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=62)",""
"342","1585469043.395381804","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=63) [tempreture]","363243"
"343","1585469043.395438709","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=63)",""
"344","1585469043.462491960","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=63)",""
"345","1585469043.462563042","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=63)",""
"347","1585469043.676146105","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=64) [tempreture]","363343"
"348","1585469043.676240853","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=64)",""
"350","1585469043.743288266","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=64)",""
"351","1585469043.743356973","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=64)",""
"352","1585469043.961828117","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=65) [tempreture]","363443"
"353","1585469043.961886459","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=65)",""
"355","1585469044.029207430","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=65)",""
"356","1585469044.029278351","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=65)",""
"358","1585469044.237598423","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=66) [tempreture]","363543"
"359","1585469044.237659782","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=66)",""
"360","1585469044.304557405","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=66)",""
"361","1585469044.304627966","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=66)",""
"363","1585469044.524207625","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=67) [tempreture]","363643"
"364","1585469044.524267158","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=67)",""
"365","1585469044.591394618","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=67)",""
"366","1585469044.591497205","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=67)",""
"368","1585469044.807310221","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=68) [tempreture]","363743"
"369","1585469044.807369064","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=68)",""
